Wavelength,Flux,BestFit,SkyFlux
4070.989,55.954,58.918,7.958
4071.928,57.309,55.149,8.020
4072.865,58.028,56.757,8.177
4073.802,50.962,54.053,7.739
4074.741,48.408,53.105,6.819
4075.679,44.943,52.853,7.125
4076.618,51.121,51.319,8.456
4077.556,53.560,51.330,9.583
4078.497,46.624,48.769,10.006
4079.435,48.385,45.680,10.031
4080.373,43.355,44.609,9.894
4081.314,42.292,43.391,8.624
4082.253,46.459,41.857,8.181
4083.194,42.808,43.352,8.107
4084.134,39.527,43.168,8.298
4085.076,47.588,41.925,7.457
4086.015,40.696,39.926,6.356
4086.955,39.624,40.485,6.162
4087.898,44.814,43.795,6.582
4088.838,42.494,45.279,7.388
4089.781,42.789,46.691,7.686
4090.722,49.596,49.671,7.165
4091.665,48.887,52.715,6.996
4092.606,47.296,54.785,7.532
4093.548,50.203,55.963,7.996
4094.492,53.208,57.059,7.315
4095.434,56.598,58.785,6.208
4096.378,55.541,59.117,6.037
4097.321,56.877,60.384,6.183
4098.265,59.553,60.393,6.084
4099.208,57.361,58.955,6.310
4100.151,60.384,60.401,6.643
4101.097,60.173,61.380,6.557
4102.040,56.907,63.211,5.588
4102.986,57.176,61.920,4.629
4103.930,58.136,60.847,4.742
4104.876,56.874,62.372,5.609
4105.821,56.256,62.198,6.255
4106.768,54.962,60.609,5.835
4107.712,55.154,61.022,5.940
4108.657,55.968,60.623,5.913
4109.605,69.482,59.183,5.528
4110.550,56.924,59.084,5.887
4111.498,53.692,61.323,6.194
4112.444,61.548,61.856,6.880
4113.392,64.637,63.412,6.593
4114.338,65.814,63.843,5.839
4115.285,69.297,64.820,5.751
4116.234,74.109,66.881,6.383
4117.181,83.377,66.711,6.545
4118.130,80.125,66.748,6.377
4119.078,78.004,69.739,6.381
4120.027,75.226,70.312,6.187
4120.975,71.153,66.113,6.110
4121.923,66.662,61.273,6.559
4122.874,61.992,60.894,6.884
4123.822,57.615,58.046,6.654
4124.773,58.466,60.253,6.628
4125.722,57.492,60.261,7.132
4126.673,52.243,58.884,7.007
4127.623,55.924,59.239,6.131
4128.572,55.400,58.709,6.525
4129.524,48.847,56.781,7.771
4130.474,44.319,56.950,7.797
4131.427,49.318,55.492,6.639
4132.377,49.086,52.472,5.754
4133.330,46.572,50.740,5.878
4134.281,47.497,50.990,6.678
4135.232,50.804,49.161,7.471
4136.186,49.126,46.980,7.597
4137.137,48.198,45.646,7.895
4138.091,53.282,45.595,8.315
4139.043,47.541,47.449,7.223
4139.998,50.029,51.095,5.771
4140.950,52.143,52.339,6.352
4141.903,53.829,50.091,6.802
4142.858,50.910,47.199,5.714
4143.811,50.752,46.380,5.184
4144.766,49.162,46.388,5.865
4145.720,46.559,44.498,6.518
4146.676,48.440,47.205,6.314
4147.630,52.247,49.305,6.076
4148.584,51.597,50.782,6.878
4149.541,50.274,52.235,7.357
4150.495,53.068,53.708,6.283
4151.452,52.828,54.744,5.263
4152.407,50.938,54.085,5.760
4153.365,51.130,56.567,6.504
