Wavelength,Flux,BestFit,SkyFlux
4100.151,25.476,25.062,11.135
4101.097,28.988,25.753,10.997
4102.040,31.220,25.718,9.795
4102.986,30.400,29.243,8.869
4103.930,29.963,31.127,8.830
4104.876,30.669,30.966,8.666
4105.821,30.641,33.640,8.049
4106.768,30.238,34.688,8.156
4107.712,29.739,32.609,9.142
4108.657,28.620,30.565,10.009
4109.605,28.300,28.866,10.051
4110.550,29.162,25.237,9.679
4111.498,27.540,22.821,9.092
4112.444,28.073,20.246,8.668
4113.392,24.835,18.686,8.601
4114.338,25.172,20.288,8.959
4115.285,31.299,21.843,9.580
4116.234,30.421,24.864,10.041
4117.181,30.423,26.874,9.639
4118.130,27.631,30.147,9.048
4119.078,32.798,32.971,8.927
4120.027,30.111,32.350,8.896
4120.975,35.736,32.952,8.857
4121.923,30.040,34.944,9.377
4122.874,29.696,33.851,10.330
4123.822,35.021,31.871,11.528
4124.773,35.171,31.437,12.660
4125.722,33.357,32.695,12.177
4126.673,35.279,34.494,11.637
4127.623,35.014,32.454,11.833
4128.572,31.212,32.128,12.138
4129.524,30.973,32.772,11.388
4130.474,33.107,33.079,10.510
4131.427,28.077,32.955,10.817
4132.377,29.269,30.820,11.868
4133.330,31.936,26.498,12.787
4134.281,29.087,22.991,12.714
4135.232,25.812,24.139,12.085
4136.186,28.907,26.667,11.922
4137.137,31.598,25.324,12.789
4138.091,27.397,24.067,12.829
4139.043,29.384,24.726,11.736
4139.998,35.385,26.593,11.220
4140.950,31.429,29.174,10.923
4141.903,32.888,31.188,10.454
4142.858,32.446,32.253,10.001
4143.811,33.450,34.793,9.424
4144.766,33.762,35.840,9.486
4145.720,34.001,37.574,10.377
4146.676,34.896,38.798,10.898
4147.630,33.563,39.348,10.349
4148.584,37.009,40.665,9.808
4149.541,34.663,42.405,9.540
4150.495,35.389,43.015,9.276
4151.452,37.607,42.159,9.462
4152.407,34.107,41.845,9.815
4153.365,36.954,40.895,10.275
4154.320,36.708,38.373,11.322
4155.276,33.700,38.940,12.902
4156.234,31.969,35.849,13.773
4157.190,32.317,37.312,13.684
4158.149,33.772,38.562,13.232
4159.106,30.538,35.667,12.587
4160.065,34.939,32.177,12.532
4161.022,31.570,32.828,13.349
4161.979,30.717,30.170,13.718
4162.939,30.755,27.567,13.384
4163.896,31.145,25.351,14.313
4164.857,30.894,24.165,16.825
4165.815,29.427,25.347,17.866
4166.775,28.025,27.007,17.139
4167.734,26.775,25.438,16.371
4168.693,27.716,23.273,16.098
4169.654,30.446,23.276,16.273
4170.613,21.848,26.251,15.828
4171.575,32.235,30.252,15.316
4172.535,28.945,31.699,15.666
4173.497,30.214,33.396,15.364
4174.457,30.147,35.179,13.944
4175.417,30.485,36.851,13.200
4176.380,35.623,39.314,12.848
4177.341,35.274,41.519,13.088
4178.304,31.386,39.304,14.012
4179.265,34.835,41.698,13.755
4180.229,34.363,44.469,13.039
4181.191,36.404,44.361,12.471
4182.155,37.813,42.692,11.691
4183.117,33.943,41.859,10.989
4184.079,33.259,40.529,11.149
4185.044,29.533,39.678,11.760
4186.007,32.633,38.827,11.803
4186.972,33.809,38.335,11.224
4187.935,33.746,40.055,10.051
4188.901,35.136,42.966,9.377
4189.865,34.765,40.454,9.776
4190.829,32.864,39.732,10.681
4191.795,29.400,37.323,11.205
4192.759,32.793,36.185,11.016
4193.726,30.886,38.709,10.700
4194.691,30.317,41.004,10.422
4195.658,32.446,36.598,10.200
4196.624,31.617,37.523,10.005
4197.589,29.548,36.291,9.558
4198.557,30.138,34.677,9.169
4199.523,29.333,33.775,9.129
4200.491,26.626,32.341,9.067
4201.457,28.072,32.979,8.748
4202.426,27.952,30.101,8.508
4203.393,25.493,27.536,8.546
4204.360,28.045,25.600,8.556
4205.330,22.991,23.865,8.974
4206.297,26.082,24.024,9.400
4207.267,26.867,27.861,10.098
4208.235,33.912,27.430,10.732
4209.205,31.514,25.135,10.733
4210.174,26.221,22.286,9.811
4211.142,24.645,21.471,9.051
4212.113,24.483,24.348,8.773
4213.082,29.824,26.431,8.751
4214.054,26.078,28.138,8.754
4215.023,29.383,30.335,8.993
4215.995,31.652,33.836,9.342
4216.965,30.494,37.292,9.854
4217.935,32.122,38.338,9.560
4218.908,32.130,37.823,8.672
4219.878,32.857,40.738,8.215
4220.851,33.461,40.537,8.500
4221.822,33.503,40.826,9.047
4222.796,34.228,41.777,8.965
4223.767,34.108,40.652,8.408
4224.739,33.292,42.427,8.429
4225.713,35.479,42.723,8.752
4226.685,35.913,45.330,8.776
4227.660,35.422,44.691,8.012
4228.633,36.474,42.331,7.312
4229.608,36.542,44.302,7.362
4230.581,35.529,44.735,8.125
4231.554,35.359,42.683,8.848
4232.530,33.881,42.657,9.171
4233.504,34.227,42.716,9.242
4234.480,37.202,41.640,9.178
4235.454,36.472,41.269,9.226
4236.431,35.962,42.559,9.432
4237.405,38.662,43.596,9.441
4238.380,38.681,45.282,9.144
4239.357,45.686,46.023,9.030
4240.333,44.012,46.946,9.362
4241.310,50.435,49.821,9.101
4242.286,57.145,51.055,8.619
4243.264,63.799,53.167,8.658
4244.241,72.794,58.278,8.831
4245.217,78.863,58.950,9.610
4246.196,73.559,52.671,11.314
4247.173,59.023,45.841,13.768
4248.152,47.799,44.446,14.208
4249.129,42.388,40.233,12.847
4250.109,38.213,40.746,11.241
4251.087,33.692,42.525,10.560
4252.065,35.613,42.650,10.957
4253.045,35.935,42.358,11.181
4254.024,34.563,40.812,10.842
4255.005,34.474,39.211,10.538
4255.984,33.921,38.983,10.498
4256.965,32.791,37.399,10.621
4257.944,32.527,34.459,11.120
4258.926,31.525,32.917,11.430
4259.906,30.944,32.517,10.564
4260.886,30.890,31.931,10.015
4261.869,27.922,29.802,10.062
4262.849,31.713,27.972,9.833
4263.832,31.629,28.116,10.015
4264.813,36.614,31.362,10.216
4265.796,41.632,38.653,10.477
4266.778,45.166,42.709,10.908
4267.759,45.623,39.091,11.408
4268.743,40.162,32.071,11.468
4269.725,35.321,28.476,10.807
4270.710,34.814,29.471,9.957
4271.692,30.130,27.199,10.226
